bridge_id,latitude,longitude,status
24515425,28.458144,77.0719104,Unidentified
24515425,28.4588778,77.0738951,Unidentified
24563335,28.5945002,77.2426065,Unidentified
24563335,28.5950352,77.2422188,Unidentified
24563335,28.5965874,77.2411179,Unidentified
25878294,28.4457293,77.0353299,Unidentified
25878294,28.4456506,77.0350447,Unidentified
25878294,28.4455612,77.0345323,Unidentified
25878294,28.4455202,77.0340396,Unidentified
25878294,28.4455077,77.0335974,Unidentified
25878294,28.4455428,77.0331634,Unidentified
25878294,28.4456027,77.0327758,Unidentified
25878294,28.4458158,77.0318747,Unidentified
25878307,28.4612735,77.0510213,Unidentified
25878307,28.4574825,77.047374,Unidentified
25878311,28.4661945,77.0554144,Unidentified
25878311,28.4680449,77.0566347,Unidentified
25878311,28.4685791,77.057117,Unidentified
25878311,28.4688262,77.0574144,Unidentified
25878311,28.4690552,77.0576899,Unidentified
25878311,28.471166,77.0603605,Unidentified
25878314,28.471043,77.0604835,Unidentified
25878314,28.4689204,77.0577889,Unidentified
25878314,28.4685262,77.0573109,Unidentified
25878314,28.4680685,77.0568858,Unidentified
25878314,28.4676273,77.0565463,Unidentified
25878314,28.4661247,77.0555826,Unidentified
25878314,28.4661044,77.0555656,Unidentified
25878316,28.4737738,77.0636238,Unidentified
25878316,28.4745718,77.0646449,Unidentified
25878316,28.4752587,77.0655178,Unidentified
25878316,28.4755502,77.0658883,Unidentified
25878316,28.4773622,77.0681913,Unidentified
25878316,28.4792124,77.0703931,Unidentified
25878316,28.4795466,77.0707737,Unidentified
25878316,28.4808993,77.0720808,Unidentified
28121535,28.5639322,77.23321,Unidentified
28121535,28.5649703,77.2337846,Unidentified
28121535,28.5655455,77.2340059,Unidentified
28121535,28.5658868,77.2341222,Unidentified
28121535,28.5673434,77.2343746,Unidentified
28773634,28.6086907,77.1180085,Unidentified
28773634,28.6097672,77.1152754,Unidentified
28773634,28.6100623,77.1146668,Unidentified
28773634,28.6105939,77.1137004,Unidentified
28773634,28.6106454,77.1136111,Unidentified
28773634,28.6113187,77.1124438,Unidentified
28773634,28.611508,77.1121156,Unidentified
28773634,28.6116442,77.111883,Unidentified
28773634,28.6119317,77.1113923,Unidentified
28773642,28.6170545,77.1058912,Unidentified
28773642,28.616059,77.1064969,Unidentified
28773642,28.6151087,77.1071967,Unidentified
28773642,28.6144105,77.1078072,Unidentified
28773642,28.6140738,77.1081623,Unidentified
28773642,28.6133604,77.1091636,Unidentified
31097489,28.577191,77.144236,Unidentified
31097489,28.5763115,77.1439011,Unidentified
31097489,28.5757763,77.1435694,Unidentified
31097489,28.5749946,77.1428133,Unidentified
31097489,28.5747181,77.142391,Unidentified
31097502,28.5441922,77.115861,Unidentified
31097502,28.5441021,77.1162638,Unidentified
31097502,28.5440497,77.1166678,Unidentified
31097502,28.5440536,77.1170654,Unidentified
31097502,28.5440789,77.1175217,Unidentified
31097502,28.5441701,77.1180025,Unidentified
31097502,28.5443018,77.1184869,Unidentified
31756483,28.582224,77.2123384,Unidentified
31756483,28.5794322,77.2115407,Unidentified
31756483,28.5791334,77.2114341,Unidentified
31756483,28.578414,77.2111538,Unidentified
31806390,28.552841,77.0493222,Unidentified
31806390,28.5525618,77.0489497,Unidentified
31806390,28.5523352,77.0487184,Unidentified
31806390,28.5519299,77.0483662,Unidentified
31806390,28.5511317,77.0476879,Unidentified
31806390,28.5506101,77.0472072,Unidentified
31806390,28.5490296,77.0458769,Unidentified
31806390,28.5483985,77.0453165,Unidentified
31806390,28.5468256,77.0439199,Unidentified
31806390,28.5454854,77.0427627,Unidentified
31806390,28.5442646,77.041691,Unidentified
31806390,28.542692,77.0403909,Unidentified
31806390,28.5413801,77.0392153,Unidentified
32660995,28.5365216,77.2845972,Unidentified
32660995,28.5366279,77.284426,Unidentified
32660995,28.536679,77.2843278,Unidentified
32660995,28.5367015,77.2842746,Unidentified
32660995,28.5367205,77.2842185,Unidentified
32660995,28.5367303,77.2841714,Unidentified
32660995,28.5367414,77.2841051,Unidentified
32660995,28.5367466,77.2840455,Unidentified
32660995,28.5367479,77.2839873,Unidentified
32660995,28.5367414,77.2839046,Unidentified
34404746,28.6423944,77.2212599,Unidentified
34404746,28.6424308,77.2214852,Unidentified
34404746,28.6424556,77.2215594,Unidentified
34404746,28.6424742,77.2217267,Unidentified
34404746,28.6424837,77.221812,Unidentified
34404747,28.6425866,77.2209438,Unidentified
34404747,28.6423509,77.2209911,Unidentified
34404747,28.6421378,77.2210297,Unidentified
34404748,28.6424146,77.2207604,Unidentified
34404748,28.6425621,77.2207338,Unidentified
34404751,28.642073,77.2206195,Unidentified
34404751,28.6422852,77.2205901,Unidentified
34404752,28.6422018,77.2200812,Unidentified
34404752,28.6424274,77.2200362,Unidentified
34404755,28.6419332,77.2196378,Unidentified
34404755,28.642122,77.2195942,Unidentified
34404755,28.6421781,77.2195815,Unidentified
34404755,28.6423761,77.2195362,Unidentified
34404761,28.5940555,77.1655298,Unidentified
34404761,28.5945041,77.1664199,Unidentified
34404761,28.5948392,77.1670798,Unidentified
34404761,28.5950505,77.1674837,Unidentified
35308232,28.5882509,77.0414815,Unidentified
35308232,28.588026,77.0418374,Unidentified
35308234,28.5879393,77.0417306,Unidentified
35308234,28.5881642,77.0414013,Unidentified
35310546,28.529559,76.9057115,Unidentified
35310546,28.5299718,76.9059853,Unidentified
35310548,28.5287472,76.9051976,Unidentified
35310548,28.5293429,76.9055659,Unidentified
35311045,28.6307806,76.9995617,Unidentified
35311045,28.6310608,76.9998526,Unidentified
35311167,28.6621202,77.0495359,Unidentified
35311167,28.6620323,77.0494027,Unidentified
36326998,28.5698743,77.1872013,Unidentified
36326998,28.5696228,77.189387,Unidentified
36326998,28.5694443,77.1911331,Unidentified
36326998,28.5694017,77.1918254,Unidentified
36326998,28.5693801,77.1924339,Unidentified
36807195,28.6726663,77.2306912,Unidentified
36807195,28.6734653,77.2304678,Unidentified
36807195,28.6739846,77.2303018,Unidentified
36807195,28.6741991,77.2302333,Unidentified
36807195,28.6750554,77.229985,Unidentified
36807197,28.6750554,77.229985,Unidentified
36807197,28.6752311,77.2299449,Unidentified
36807197,28.6753238,77.2299299,Unidentified
36807197,28.6754102,77.2299193,Unidentified
36807197,28.6754968,77.2299268,Unidentified
36807197,28.6755809,77.2299521,Unidentified
36807197,28.6756595,77.2299944,Unidentified
36807197,28.67573,77.2300523,Unidentified
36807197,28.6757902,77.2301238,Unidentified
36807197,28.6758379,77.2302066,Unidentified
36807197,28.6758716,77.2302979,Unidentified
36807197,28.6758902,77.2303947,Unidentified
36807197,28.6758931,77.2304937,Unidentified
36807197,28.6758801,77.2305917,Unidentified
36807197,28.6758517,77.2306853,Unidentified
36807197,28.6758089,77.2307715,Unidentified
36807197,28.675753,77.2308474,Unidentified
36807197,28.6756859,77.2309104,Unidentified
36807197,28.6756099,77.2309585,Unidentified
36807197,28.6755276,77.2309901,Unidentified
36807197,28.6753246,77.2310156,Unidentified
36807198,28.6753246,77.2310156,Unidentified
36807198,28.6749607,77.2310127,Unidentified
36807198,28.6744826,77.2309747,Unidentified
36807198,28.6741268,77.2309493,Unidentified
36807198,28.6739378,77.230943,Unidentified
36807198,28.6737321,77.230943,Unidentified
36807198,28.6735487,77.2309493,Unidentified
36807198,28.6733141,77.2309991,Unidentified
36807199,28.6710948,77.2318571,Unidentified
36807199,28.6709702,77.2320251,Unidentified
36807199,28.6708643,77.2322088,Unidentified
36807199,28.6707783,77.2324057,Unidentified
36807199,28.6707137,77.2326129,Unidentified
36807199,28.6706714,77.2328274,Unidentified
36807199,28.6706518,77.2330462,Unidentified
36807199,28.6706554,77.2332661,Unidentified
36807199,28.6706821,77.2334838,Unidentified
39013518,28.5704308,77.2550427,Unidentified
39013518,28.5709546,77.2560091,Unidentified
39013519,28.5709546,77.2560091,Unidentified
39013519,28.5711518,77.2563439,Unidentified
39013520,28.5708195,77.2560639,Unidentified
39013520,28.5703258,77.255119,Unidentified
39013522,28.5739358,77.2603889,Unidentified
39013522,28.5749494,77.2619319,Unidentified
39013522,28.5758398,77.2633803,Unidentified
39013522,28.5767938,77.2647428,Unidentified
39013522,28.5775145,77.2658506,Unidentified
39013522,28.5780315,77.2664356,Unidentified
39013524,28.5738692,77.2604888,Unidentified
39013524,28.5737943,77.2603726,Unidentified
39013524,28.5724258,77.2582496,Unidentified
39013524,28.57194,77.2575567,Unidentified
39013524,28.5715633,77.2570573,Unidentified
39451576,28.5768969,77.0375066,Unidentified
39451576,28.5772419,77.0371016,Unidentified
39451578,28.5773438,77.0369804,Unidentified
39451578,28.5775703,77.0367251,Unidentified
39451591,28.5456877,77.0102608,Unidentified
39451591,28.5455121,77.010364,Unidentified
39451593,28.5451101,77.0106089,Unidentified
39451593,28.5448496,77.0107733,Unidentified
39451595,28.5446203,77.0109055,Unidentified
39451595,28.5441191,77.0112068,Unidentified
39451611,28.589893,77.0441515,Unidentified
39451611,28.5902996,77.0444739,Unidentified
39451613,28.5903385,77.0446581,Unidentified
39451613,28.5899374,77.0443215,Unidentified
39451617,28.5862027,77.0409314,Unidentified
39451617,28.5866025,77.0413794,Unidentified
39451619,28.586361,77.0413096,Unidentified
39451619,28.5860259,77.0408957,Unidentified
39451627,28.5845607,77.0409559,Unidentified
39451627,28.5846899,77.0406855,Unidentified
39451629,28.5848008,77.0406916,Unidentified
39451629,28.5846764,77.0409724,Unidentified
39451631,28.5820926,77.0403937,Unidentified
39451631,28.5821482,77.0400552,Unidentified
39451633,28.5822705,77.0400847,Unidentified
39451633,28.5822103,77.0404275,Unidentified
39451639,28.5983064,77.0286681,Unidentified
39451639,28.5984428,77.0287799,Unidentified
39451641,28.5983346,77.0288974,Unidentified
39451641,28.5981988,77.0287781,Unidentified
39451648,28.5692524,77.0536332,Unidentified
39451648,28.5691138,77.0538394,Unidentified
39451650,28.5690456,77.0537703,Unidentified
39451650,28.5691738,77.053589,Unidentified
39451653,28.5973243,77.0582738,Unidentified
39451653,28.5970714,77.0584749,Unidentified
39451655,28.5970387,77.0583668,Unidentified
39451655,28.5972761,77.058164,Unidentified
39452775,28.5991749,77.0622356,Unidentified
39452775,28.5993883,77.0618992,Unidentified
39452777,28.5994409,77.0619956,Unidentified
39452777,28.5993915,77.0620793,Unidentified
39452777,28.5992452,77.0623271,Unidentified
40138011,28.5412675,77.1174383,Unidentified
40138011,28.5421884,77.1178807,Unidentified
40138011,28.5428476,77.1181718,Unidentified
40138011,28.5434473,77.1185266,Unidentified
40138011,28.5439226,77.1189452,Unidentified
40138011,28.5442196,77.1192703,Unidentified
40138011,28.544439,77.1195737,Unidentified
40138011,28.5446086,77.1198902,Unidentified
40138011,28.5447731,77.1201972,Unidentified
40138011,28.5453534,77.1213839,Unidentified
40138011,28.5460771,77.1228798,Unidentified
40138011,28.5467466,77.1238019,Unidentified
40138011,28.5478073,77.1251639,Unidentified
40138011,28.5478874,77.1252645,Unidentified
40138011,28.5480279,77.1254401,Unidentified
40138011,28.5488347,77.1265009,Unidentified
40138011,28.5509543,77.1291997,Unidentified
40138012,28.5401146,77.1169933,Unidentified
40138012,28.5400582,77.1169286,Unidentified
40138012,28.5400111,77.1168549,Unidentified
40138012,28.5399744,77.1167739,Unidentified
40138012,28.5399488,77.1166876,Unidentified
40138012,28.5399349,77.1165978,Unidentified
40138012,28.5399332,77.1165067,Unidentified
40138012,28.5399435,77.1164163,Unidentified
40138012,28.5399658,77.1163288,Unidentified
40138012,28.5399994,77.1162461,Unidentified
40138012,28.5400436,77.1161701,Unidentified
40138012,28.5400974,77.1161026,Unidentified
40138012,28.5401595,77.1160451,Unidentified
40138012,28.5402286,77.115999,Unidentified
40138012,28.540303,77.1159653,Unidentified
40138012,28.540381,77.1159448,Unidentified
40138012,28.5404608,77.115938,Unidentified
44315437,28.5697312,77.2013572,Unidentified
44315437,28.5697874,77.2007878,Unidentified
44315437,28.569785,77.2001384,Unidentified
44315437,28.5696975,77.1984449,Unidentified
44315437,28.5696088,77.197352,Unidentified
44315438,28.569711,77.1973372,Unidentified
44315438,28.5697653,77.1984682,Unidentified
44315438,28.5698681,77.2002414,Unidentified
44315438,28.5698625,77.2008436,Unidentified
44315438,28.5698038,77.201953,Unidentified
44315444,28.5693523,77.2077493,Unidentified
44315444,28.5694054,77.2076939,Unidentified
44315444,28.5694639,77.2076463,Unidentified
44315444,28.5695269,77.2076069,Unidentified
44315444,28.5695937,77.2075765,Unidentified
44315444,28.5696633,77.2075555,Unidentified
44315444,28.5697345,77.207544,Unidentified
44315444,28.5698064,77.2075425,Unidentified
44315444,28.569878,77.2075507,Unidentified
44315444,28.5699482,77.2075687,Unidentified
44315444,28.5700159,77.2075962,Unidentified
44315444,28.5700803,77.2076327,Unidentified
44315444,28.5701404,77.2076778,Unidentified
44315444,28.5701953,77.2077307,Unidentified
44315444,28.5702442,77.2077908,Unidentified
44315444,28.5702864,77.2078571,Unidentified
44315444,28.5703213,77.2079287,Unidentified
44315444,28.5703484,77.2080046,Unidentified
44315444,28.5703742,77.2080975,Unidentified
44315444,28.5704244,77.2083038,Unidentified
44315449,28.569337,77.2082761,Unidentified
44315449,28.5691725,77.2105289,Unidentified
44315450,28.5690929,77.2103191,Unidentified
44315450,28.5692444,77.2082065,Unidentified
44315455,28.5702702,77.2096176,Unidentified
44315455,28.5703483,77.2095386,Unidentified
44315455,28.5704189,77.209451,Unidentified
44315455,28.5704815,77.2093558,Unidentified
44315455,28.5705353,77.2092538,Unidentified
44315455,28.5705798,77.2091462,Unidentified
44315455,28.5706146,77.2090341,Unidentified
44315455,28.5706393,77.2089185,Unidentified
44315455,28.5706537,77.2088007,Unidentified
44315455,28.5706577,77.2086819,Unidentified
44315455,28.5706511,77.2085632,Unidentified
44315455,28.5706375,77.2084459,Unidentified
44315456,28.570747,77.2084771,Unidentified
44315456,28.5707598,77.2086143,Unidentified
44315456,28.5707601,77.2087522,Unidentified
44315456,28.5707482,77.2088895,Unidentified
44315456,28.570724,77.2090246,Unidentified
44315456,28.5706878,77.2091563,Unidentified
44315456,28.5706399,77.209283,Unidentified
44315456,28.570581,77.2094035,Unidentified
44315456,28.5705116,77.2095166,Unidentified
44315456,28.5704324,77.209621,Unidentified
44315456,28.5703443,77.2097156,Unidentified
44316330,28.5673127,77.2345586,Unidentified
44316330,28.5658878,77.2342614,Unidentified
44316330,28.5655253,77.2341525,Unidentified
44316330,28.5649507,77.233903,Unidentified
44316330,28.5638791,77.233363,Unidentified
44316335,28.5617491,77.23212,Unidentified
44316335,28.5607532,77.2314946,Unidentified
44316335,28.56024,77.2311342,Unidentified
44316335,28.5597878,77.2308725,Unidentified
44316345,28.5685828,77.2230784,Unidentified
44316345,28.5684093,77.2239297,Unidentified
44316345,28.5683538,77.2241838,Unidentified
44316345,28.5682811,77.2244265,Unidentified
44316345,28.5668089,77.2280781,Unidentified
44316349,28.5673434,77.2343746,Unidentified
44316349,28.5678664,77.2345422,Unidentified
44316349,28.5681861,77.2347064,Unidentified
44317043,28.5661631,77.2521831,Unidentified
44317043,28.5662496,77.2523178,Unidentified
44317043,28.5663482,77.2524413,Unidentified
44317043,28.566455,77.2525555,Unidentified
44317043,28.5665694,77.2526598,Unidentified
44317043,28.5666906,77.2527536,Unidentified
44317043,28.566818,77.2528361,Unidentified
44317048,28.5800265,77.2698325,Unidentified
44317048,28.5802055,77.2696202,Unidentified
44317048,28.5803837,77.2693369,Unidentified
44317048,28.5805156,77.269049,Unidentified
44317048,28.5806135,77.2686725,Unidentified
44317049,28.5806986,77.2687141,Unidentified
44317049,28.5805893,77.2691151,Unidentified
44317049,28.580466,77.2694015,Unidentified
44317049,28.58028,77.2696845,Unidentified
44317049,28.5800829,77.269926,Unidentified
44317158,28.5762929,77.1772815,Unidentified
44317158,28.58032,77.1749724,Unidentified
44317159,28.5801845,77.1751707,Unidentified
44317159,28.5762264,77.177488,Unidentified
44823697,28.5575245,77.270312,Unidentified
44823697,28.5576075,77.2703634,Unidentified
44823697,28.5576984,77.2703927,Unidentified
44823697,28.5577927,77.2703984,Unidentified
44823697,28.5578859,77.2703803,Unidentified
44823697,28.5579732,77.2703392,Unidentified
44823697,28.5580504,77.2702771,Unidentified
44823697,28.5581136,77.2701972,Unidentified
44823697,28.5581598,77.2701033,Unidentified
44823697,28.5581866,77.2700002,Unidentified
44823697,28.5581927,77.2698928,Unidentified
44823697,28.5581779,77.2697866,Unidentified
44823697,28.5581428,77.2696867,Unidentified
44823697,28.5580892,77.2695981,Unidentified
44823697,28.5580198,77.2695252,Unidentified
44823697,28.5579379,77.2694715,Unidentified
44823697,28.5578476,77.2694398,Unidentified
44823697,28.5577534,77.2694315,Unidentified
44823698,28.5563458,77.2699538,Unidentified
44823698,28.5564742,77.2698176,Unidentified
44823698,28.5565113,77.2697546,Unidentified
44823698,28.5565528,77.2696689,Unidentified
44823698,28.5565867,77.2695802,Unidentified
44823698,28.5566018,77.2695043,Unidentified
44823698,28.5566185,77.2693898,Unidentified
44823698,28.5566097,77.2693187,Unidentified
44823698,28.5565844,77.2691993,Unidentified
44823698,28.5565562,77.2691027,Unidentified
44823698,28.5564412,77.2688007,Unidentified
44823699,28.5567847,77.2690522,Unidentified
44823699,28.5568736,77.2691237,Unidentified
44823699,28.5569725,77.2691753,Unidentified
44823699,28.5570781,77.2692054,Unidentified
44823699,28.5571867,77.2692129,Unidentified
44823699,28.5572947,77.2691975,Unidentified
44823699,28.5573984,77.2691597,Unidentified
44923699,28.6511771,77.2512945,Unidentified
44923699,28.6511698,77.2508863,Unidentified
44923699,28.6511335,77.2488487,Unidentified
47108428,28.6527352,77.0745249,Unidentified
47108428,28.6524746,77.0748822,Unidentified
47108428,28.6524274,77.0749286,Unidentified
47108428,28.6523347,77.0750069,Unidentified
47108428,28.6519917,77.0753851,Unidentified
47290486,28.5930321,77.0793043,Unidentified
47290486,28.5927915,77.0802673,Unidentified
47290486,28.5923611,77.081964,Unidentified
47290486,28.592233,77.0822082,Unidentified
47290486,28.5921125,77.0823716,Unidentified
47290486,28.5919469,77.0824589,Unidentified
47290486,28.5917785,77.0825054,Unidentified
47290486,28.5916491,77.0825237,Unidentified
47290486,28.591431,77.0825388,Unidentified
47290486,28.59053,77.0825859,Unidentified
47290486,28.5903049,77.0826226,Unidentified
47290489,28.5825768,77.0932992,Unidentified
47290489,28.5829125,77.0927795,Unidentified
47290489,28.5836813,77.0916846,Unidentified
47290489,28.5838368,77.0914511,Unidentified
47290489,28.583965,77.0912588,Unidentified
47290489,28.5845183,77.0904619,Unidentified
47290489,28.5853716,77.0891237,Unidentified
47290489,28.5866568,77.0871976,Unidentified
47290489,28.5868636,77.0868665,Unidentified
47290489,28.5870113,77.0864996,Unidentified
